                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.4114,                 4.3949,                 4.2346,                 0.0024,                0.65248,                0.00854,                0.00227,                 3.3141,                 4.6161,                 4.1564,              0.0001625,              0.0001625,              0.0001625
                      1,                 3.4238,                 4.3533,                 4.1792,                0.00243,                0.65823,                0.01067,                0.00274,                 3.3047,                 4.6124,                 4.1467,             0.00033416,             0.00033416,             0.00033416
                      2,                  3.302,                 4.2168,                 4.1277,                0.00245,                0.71457,                0.01221,                0.00352,                 3.2874,                 4.5884,                 4.1086,             0.00050235,             0.00050235,             0.00050235
                      3,                 3.2536,                 4.1255,                 4.0816,                0.00224,                0.64632,                 0.0237,                0.00583,                 3.2529,                 4.5178,                 4.0229,             0.00066708,             0.00066708,             0.00066708
                      4,                 3.3203,                 4.1108,                 4.0137,                0.00236,                0.71839,                0.01536,                0.00449,                 3.2729,                 4.4137,                 4.0389,             0.00082834,             0.00082834,             0.00082834
                      5,                 3.1599,                 3.8737,                 3.8445,                0.00243,                0.74264,                0.01496,                0.00458,                 3.2752,                 4.3361,                  4.092,             0.00098614,             0.00098614,             0.00098614
                      6,                 3.0177,                 3.8748,                 3.6901,                0.00775,                0.45279,                 0.0129,                0.00434,                 3.4063,                 4.5298,                 4.2574,              0.0011405,              0.0011405,              0.0011405
                      7,                  2.985,                  3.862,                 3.6155,                0.00228,                0.58287,                0.02013,                0.00641,                 3.1891,                 4.2436,                  3.825,              0.0011634,              0.0011634,              0.0011634
                      8,                 2.8855,                 3.7895,                 3.4842,                0.00206,                0.41515,                0.00962,                0.00301,                  3.017,                 4.4356,                 3.4057,              0.0011634,              0.0011634,              0.0011634
                      9,                  2.796,                 3.7278,                 3.3747,                  0.512,                0.10345,                0.00925,                0.00232,                 3.1922,                 7.0077,                 3.6545,               0.001151,               0.001151,               0.001151
                     10,                 2.8133,                 3.6546,                  3.352,                 0.5374,                0.09224,                0.02838,                0.00714,                 3.0933,                 5.4412,                 3.5277,              0.0011386,              0.0011386,              0.0011386
                     11,                 2.7823,                 3.6486,                 3.2939,                0.53045,                0.10996,                0.03539,                0.00869,                 2.8208,                 4.3767,                 3.3241,              0.0011263,              0.0011263,              0.0011263
                     12,                 2.6814,                 3.4728,                 3.2436,                0.56545,                0.07081,                0.01963,                0.00515,                 2.8144,                 5.1935,                 3.7196,              0.0011139,              0.0011139,              0.0011139
                     13,                 2.6528,                 3.3767,                 3.1449,                0.77897,                 0.0625,                0.02045,                0.00695,                 2.9308,                 7.9203,                 3.8136,              0.0011015,              0.0011015,              0.0011015
                     14,                 2.5665,                 3.3565,                 3.1227,                 0.6446,                0.18314,                0.10812,                0.02848,                 2.7155,                 8.3552,                 3.1548,              0.0010891,              0.0010891,              0.0010891
                     15,                 2.6265,                 3.3347,                  3.128,                0.29551,                 0.2359,                 0.0302,                 0.0071,                 2.7374,                 6.4807,                 3.2468,              0.0010768,              0.0010768,              0.0010768
                     16,                 2.5562,                 3.3049,                 3.0686,                0.56431,                0.08744,                 0.0495,                0.01107,                 2.6869,                 7.5562,                 3.1827,              0.0010644,              0.0010644,              0.0010644
                     17,                 2.5316,                 3.2203,                  3.042,                0.39266,                0.11233,                0.09245,                0.02684,                 2.4566,                  5.619,                 3.0331,               0.001052,               0.001052,               0.001052
                     18,                 2.5008,                 3.1016,                  2.987,                0.60259,                0.16133,                0.10732,                0.02964,                 2.3506,                  3.805,                 2.9596,              0.0010396,              0.0010396,              0.0010396
                     19,                 2.4604,                 3.2004,                   2.99,                0.59895,                0.18983,                0.10091,                0.03093,                 2.1216,                 3.9149,                 2.8244,              0.0010273,              0.0010273,              0.0010273
                     20,                 2.4581,                 3.1481,                 2.9966,                0.61363,                0.18721,                0.11395,                0.04524,                 2.1275,                 5.2041,                 2.7629,              0.0010149,              0.0010149,              0.0010149
                     21,                 2.3413,                  3.084,                 2.9013,                0.62049,                0.19277,                0.09976,                 0.0319,                 2.2577,                  5.579,                 2.8482,              0.0010025,              0.0010025,              0.0010025
                     22,                 2.3453,                 3.0446,                 2.8929,                0.63142,                  0.256,                 0.1438,                0.06087,                 2.0837,                 3.5293,                 2.6481,             0.00099013,             0.00099013,             0.00099013
                     23,                 2.3287,                 2.8915,                 2.8656,                0.86798,                0.08908,                0.17274,                0.05579,                 2.1378,                 3.3867,                 2.7059,             0.00097775,             0.00097775,             0.00097775
                     24,                 2.3232,                 2.9289,                 2.7855,                 0.6479,                0.13821,                0.19199,                0.07415,                 2.2734,                 3.4994,                 2.7955,             0.00096537,             0.00096537,             0.00096537
                     25,                 2.2581,                 2.9035,                 2.7909,                0.69736,                0.12867,                0.17329,                0.07712,                 2.0119,                 3.2661,                 2.6256,               0.000953,               0.000953,               0.000953
                     26,                 2.1984,                 2.8926,                  2.808,                0.65647,                0.23199,                0.30382,                0.10393,                 2.0208,                 3.2752,                 2.5961,             0.00094062,             0.00094062,             0.00094062
                     27,                 2.1908,                 2.7756,                 2.7295,                0.63688,                0.19523,                0.22737,                0.09426,                 2.0335,                 3.0269,                 2.6106,             0.00092825,             0.00092825,             0.00092825
                     28,                 2.1417,                 2.6951,                 2.6662,                0.65014,                0.17231,                  0.194,                0.07623,                 2.0311,                  3.068,                 2.5999,             0.00091588,             0.00091588,             0.00091588
                     29,                 2.0791,                 2.7538,                 2.6496,                0.61364,                0.19278,                0.15471,                0.06743,                 1.9668,                 3.1283,                 2.5682,              0.0009035,              0.0009035,              0.0009035
                     30,                 2.1206,                 2.6927,                 2.6513,                0.77063,                0.24534,                0.23786,                0.08762,                 2.0719,                 2.8084,                 2.6454,             0.00089112,             0.00089112,             0.00089112
                     31,                 2.1327,                 2.6218,                 2.6935,                0.84303,                0.16744,                 0.2429,                0.11168,                 1.9672,                 2.8169,                  2.581,             0.00087875,             0.00087875,             0.00087875
                     32,                 2.0931,                 2.6296,                 2.6115,                0.72824,                0.21449,                0.26553,                0.12303,                 1.8926,                  2.669,                 2.5005,             0.00086637,             0.00086637,             0.00086637
                     33,                 2.0386,                 2.6844,                 2.6051,                0.75553,                0.25559,                0.30107,                0.15778,                   1.77,                 2.4411,                 2.3693,               0.000854,               0.000854,               0.000854
                     34,                 1.9981,                   2.52,                 2.5389,                0.75028,                0.24192,                0.30907,                0.14341,                 1.8205,                 2.3686,                 2.4075,             0.00084162,             0.00084162,             0.00084162
